# coding: utf-8
# 用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 简词补全放本文件内，不需要可删除
# 用户词库，下行开始添加，编码格式见上，部署后生效

# 自定义用户词汇
可视化	kuh
通气	tsqi
同事	tsui
腿部	tvbu
推导	tvdc
退费	tvfw
偷窥	tzkv
投降	tzxl
傻了	uale
涉及	ueji
赊账	uevh
深化	ufhx
神坛	uftj
身姿	ufzi
剩菜	ugcd
升幅	ugfu
生化	ughx
生姜	ugjl
生理	ugli
声明	ugmk
上场	uhih
使馆	uigr
使坏	uihk
闪亮	ujll
说到	uodc
书摊	uutj
书信	uuxb
水利	uvli
水文	uvwf
收到	uzdc
收工	uzgs
收获	uzho
收集	uzji
受理	uzli
手拿	uzna
受伤	uzuh
手下	uzxx
照办	vcbj
着凉	vcll
朝霞	vcxx
债券	vdqr
宅子	vdzi
哲理	veli
正途	vgtu
只管	vigr
值钱	viqm
质问	viwf
战线	vjxm
转圜	vrhr
转头	vrtz
专项	vrxl
专研	vryj
仲裁	vscd
终点	vsdm
重力	vsli
忠实	vsui
中心	vsxb
主体	vuti
注释	vuui
坠毁	vvhv
皱起	vzqi
外接	wdjp
外壳	wdke
外貌	wdmc
外甥	wdug
文殊	wfuu
蚊子	wfzi
王八	whba
王后	whhz
旺季	whji
往上	whuh
王者	whve
网友	whyz
晚了	wjle
玩转	wjvr
玩意	wjyi
微风	wwfg
心算	xbsr
幸好	xkhc
行程	xkig
性急	xkji
醒了	xkle
兴致	xkvi
想必	xlbi
享福	xlfu
相连	xllm
象棋	xlqi
相思	xlsi
相通	xlts
巷子	xlzi
消化	xnhx
歇着	xpve
雄起	xsqi
兄长	xsvh
雄伟	xsww
续保	xubc
虚实	xuui
下蛋	xxdj
药店	ycdm
钥匙	ycui
阉割	yjge
严厉	yjli
远离	yrli
油锅	yzgo
